,Date,Price,Open,High,Low,Vol.,Change %
279,2019-07-27,206.62,217.8,222.7,203.5,8.55M,-5.15%
278,2019-07-28,210.37,206.64,212.01,199.68,7.54M,1.81%
277,2019-07-29,209.82,210.39,214.45,207.37,7.20M,-0.26%
276,2019-07-30,208.49,209.81,212.88,204.54,7.15M,-0.63%
275,2019-07-31,217.23,208.49,218.19,208.17,7.51M,4.19%
274,2019-08-01,216.37,217.23,217.55,211.23,7.09M,-0.40%
273,2019-08-02,216.54,216.37,220.84,213.93,7.56M,0.08%
272,2019-08-03,220.89,216.52,223.0,215.52,6.99M,2.01%
271,2019-08-04,220.72,220.89,222.21,216.31,6.51M,-0.08%
270,2019-08-05,232.45,220.76,235.0,220.75,9.79M,5.31%
269,2019-08-06,225.63,232.45,237.47,222.46,9.35M,-2.93%
268,2019-08-07,224.66,225.62,229.22,220.62,7.90M,-0.43%
267,2019-08-08,220.16,224.68,226.11,215.57,7.54M,-2.00%
266,2019-08-09,209.49,220.12,220.49,206.4,9.66M,-4.84%
265,2019-08-10,205.93,209.46,213.53,202.35,8.70M,-1.70%
264,2019-08-11,215.83,205.92,216.23,205.64,7.63M,4.81%
263,2019-08-12,210.45,215.84,215.97,209.49,7.94M,-2.49%
262,2019-08-13,207.68,210.48,211.01,106.01,18.29M,-1.32%
261,2019-08-14,186.56,207.68,209.43,183.74,12.46M,-10.17%
260,2019-08-15,187.8,186.59,189.3,176.08,14.03M,0.66%
259,2019-08-16,184.55,187.67,188.03,179.35,11.33M,-1.73%
258,2019-08-17,184.81,184.55,186.12,181.58,8.78M,0.14%
257,2019-08-18,193.68,184.83,197.17,182.96,9.11M,4.80%
256,2019-08-19,201.64,193.67,202.81,192.33,8.14M,4.11%
255,2019-08-20,196.14,201.65,201.96,194.55,10.01M,-2.73%
254,2019-08-21,187.24,196.15,196.78,181.29,12.98M,-4.54%
253,2019-08-22,190.29,187.27,194.42,182.97,9.97M,1.63%
252,2019-08-23,193.43,190.29,195.32,175.8,8.56M,1.65%
251,2019-08-24,190.15,193.42,193.47,186.13,8.38M,-1.70%
250,2019-08-25,186.3,190.16,191.49,182.81,7.58M,-2.02%
249,2019-08-26,188.34,186.32,193.09,186.02,9.02M,1.09%
248,2019-08-27,186.58,188.36,188.61,184.26,7.19M,-0.93%
247,2019-08-28,172.85,186.6,187.13,167.57,9.72M,-7.36%
246,2019-08-29,168.66,172.85,173.05,164.04,9.55M,-2.43%
245,2019-08-30,168.16,168.68,170.27,165.38,7.49M,-0.29%
244,2019-08-31,171.62,168.14,174.43,166.16,7.89M,2.06%
243,2019-09-01,169.72,171.62,173.22,167.08,7.80M,-1.11%
242,2019-09-02,178.11,169.72,180.56,169.45,9.27M,4.94%
241,2019-09-03,178.81,178.1,182.59,175.37,9.03M,0.39%
240,2019-09-04,174.79,178.82,180.06,173.85,7.55M,-2.25%
239,2019-09-05,173.83,174.8,175.56,170.54,7.40M,-0.55%
238,2019-09-06,169.15,173.82,177.79,166.16,9.98M,-2.70%
237,2019-09-07,177.74,169.14,180.63,168.42,9.05M,5.08%
236,2019-09-08,181.44,177.76,183.42,177.36,8.34M,2.08%
235,2019-09-09,180.65,181.45,184.76,176.25,9.64M,-0.44%
234,2019-09-10,180.05,180.64,184.16,177.44,8.27M,-0.33%
233,2019-09-11,178.47,180.05,182.27,174.86,10.66M,-0.88%
232,2019-09-12,180.87,178.48,182.37,176.85,7.19M,1.35%
231,2019-09-13,181.11,180.87,181.53,177.79,7.68M,0.13%
230,2019-09-14,188.16,181.06,188.54,180.09,8.63M,3.89%
229,2019-09-15,189.1,188.17,190.23,185.92,7.30M,0.50%
228,2019-09-16,197.32,189.1,198.82,188.68,10.01M,4.35%
227,2019-09-17,207.77,197.33,214.45,195.95,11.69M,5.29%
226,2019-09-18,210.43,207.8,216.89,207.69,9.78M,1.28%
225,2019-09-19,220.21,210.44,223.35,202.95,12.42M,4.65%
224,2019-09-20,218.0,220.22,221.27,213.12,9.10M,-1.00%
223,2019-09-21,215.22,218.01,221.17,213.71,8.69M,-1.28%
222,2019-09-22,211.13,215.23,215.64,206.71,9.72M,-1.90%
221,2019-09-23,201.18,211.16,211.76,199.82,9.65M,-4.71%
220,2019-09-24,166.29,201.22,202.97,164.78,19.02M,-17.34%
219,2019-09-25,168.92,166.29,174.26,162.12,13.88M,1.58%
218,2019-09-26,164.56,168.93,169.81,153.17,11.97M,-2.58%
217,2019-09-27,173.19,164.58,175.65,161.32,10.94M,5.24%
216,2019-09-28,173.62,173.19,175.15,168.56,10.22M,0.25%
215,2019-09-29,169.29,173.62,174.43,164.97,9.90M,-2.49%
214,2019-09-30,180.35,169.28,180.52,165.59,11.93M,6.53%
213,2019-10-01,175.78,180.36,184.95,174.03,11.88M,-2.54%
212,2019-10-02,180.27,175.78,180.84,173.97,8.47M,2.56%
211,2019-10-03,174.54,180.26,180.57,170.65,8.89M,-3.18%
210,2019-10-04,175.65,174.58,178.43,171.33,8.44M,0.64%
209,2019-10-05,176.43,175.65,176.63,172.39,7.30M,0.44%
208,2019-10-06,170.55,176.44,176.87,168.74,7.97M,-3.33%
207,2019-10-07,179.87,170.52,182.03,169.13,10.95M,5.46%
206,2019-10-08,180.78,179.81,184.57,177.74,10.26M,0.51%
205,2019-10-09,192.64,180.74,195.08,179.39,12.43M,6.56%
204,2019-10-10,191.1,192.65,194.08,187.33,10.42M,-0.80%
203,2019-10-11,180.6,191.11,195.87,179.76,13.31M,-5.49%
202,2019-10-12,179.87,180.6,184.49,178.78,9.85M,-0.40%
201,2019-10-13,181.11,179.86,184.42,178.89,8.22M,0.69%
200,2019-10-14,186.63,181.07,186.99,180.65,9.91M,3.05%
199,2019-10-15,180.59,186.64,187.67,178.26,11.45M,-3.23%
198,2019-10-16,174.53,180.57,181.08,172.49,12.28M,-3.36%
197,2019-10-17,177.31,174.52,178.33,172.12,9.45M,1.59%
196,2019-10-18,172.81,177.31,177.47,169.28,11.27M,-2.54%
195,2019-10-19,171.91,172.79,174.81,170.38,9.89M,-0.52%
194,2019-10-20,175.14,171.93,176.17,169.56,10.10M,1.88%
193,2019-10-21,174.18,175.14,177.67,171.91,9.24M,-0.55%
192,2019-10-22,171.42,174.17,175.08,170.82,9.86M,-1.58%
191,2019-10-23,162.28,171.44,171.61,154.42,16.00M,-5.34%
190,2019-10-24,160.73,162.26,163.68,159.4,11.36M,-0.95%
189,2019-10-25,181.49,160.73,186.24,160.41,16.19M,12.92%
188,2019-10-26,179.62,181.5,192.54,174.35,19.63M,-1.03%
187,2019-10-27,184.05,179.61,188.33,176.47,14.54M,2.46%
186,2019-10-28,181.67,184.06,188.91,180.7,12.75M,-1.29%
185,2019-10-29,190.45,181.67,192.28,181.67,14.03M,4.83%
184,2019-10-30,183.25,190.44,191.58,180.58,13.67M,-3.78%
183,2019-10-31,182.37,183.25,185.21,178.24,12.94M,-0.48%
182,2019-11-01,183.12,182.38,184.28,178.69,10.78M,0.41%
181,2019-11-02,183.01,183.12,185.18,181.94,8.71M,-0.06%
180,2019-11-03,181.7,183.01,184.51,179.46,10.41M,-0.72%
179,2019-11-04,185.85,181.72,188.27,180.69,11.89M,2.29%
178,2019-11-05,188.67,185.86,191.45,183.12,11.78M,1.51%
177,2019-11-06,191.28,188.66,194.11,188.13,11.72M,1.38%
176,2019-11-07,186.94,191.28,192.27,185.48,11.49M,-2.27%
175,2019-11-08,184.03,186.95,188.35,181.83,11.71M,-1.56%
174,2019-11-09,184.96,184.02,185.73,182.86,8.31M,0.50%
173,2019-11-10,188.99,184.96,191.28,183.55,10.95M,2.18%
172,2019-11-11,185.09,188.98,190.17,184.32,10.26M,-2.06%
171,2019-11-12,186.99,185.09,187.44,183.24,9.35M,1.03%
170,2019-11-13,188.36,187.0,189.45,185.7,7.77M,0.73%
169,2019-11-14,185.25,188.36,188.91,183.96,9.57M,-1.65%
168,2019-11-15,180.19,185.24,186.1,178.29,11.86M,-2.73%
167,2019-11-16,182.42,180.19,183.46,179.53,7.62M,1.24%
166,2019-11-17,184.18,182.39,185.97,180.49,8.57M,0.97%
165,2019-11-18,178.5,184.19,184.33,176.08,9.57M,-3.09%
164,2019-11-19,176.09,178.49,178.7,173.48,9.11M,-1.35%
163,2019-11-20,174.96,176.09,177.42,173.99,8.39M,-0.64%
162,2019-11-21,161.46,174.96,175.91,158.55,13.36M,-7.71%
161,2019-11-22,149.8,161.46,163.06,139.13,21.12M,-7.22%
160,2019-11-23,152.46,149.79,154.25,146.6,11.84M,1.77%
159,2019-11-24,140.66,152.46,153.24,139.79,11.39M,-7.74%
158,2019-11-25,145.9,140.58,151.26,131.78,17.98M,3.72%
157,2019-11-26,147.61,145.88,149.81,144.04,10.84M,1.17%
156,2019-11-27,152.7,147.6,155.43,141.91,13.34M,3.44%
155,2019-11-28,151.07,152.71,154.68,149.71,9.66M,-1.07%
154,2019-11-29,154.55,151.07,157.27,150.64,10.49M,2.30%
153,2019-11-30,151.95,154.57,155.19,150.45,8.79M,-1.68%
152,2019-12-01,151.04,151.93,152.33,146.26,9.91M,-0.60%
151,2019-12-02,148.89,151.06,151.63,147.49,9.18M,-1.43%
150,2019-12-03,147.82,148.89,149.84,146.56,8.73M,-0.72%
149,2019-12-04,145.79,147.81,151.02,143.95,12.85M,-1.37%
148,2019-12-05,148.69,145.79,149.08,144.64,9.99M,1.99%
147,2019-12-06,148.89,148.7,149.36,147.01,8.77M,0.13%
146,2019-12-07,148.28,148.88,149.76,147.54,8.11M,-0.41%
145,2019-12-08,151.17,148.25,152.22,147.09,9.28M,1.95%
144,2019-12-09,147.88,151.17,151.75,147.02,9.67M,-2.18%
143,2019-12-10,145.86,147.88,148.48,144.49,11.12M,-1.37%
142,2019-12-11,143.51,145.88,146.57,142.53,10.93M,-1.61%
141,2019-12-12,145.03,143.51,145.82,140.0,12.23M,1.06%
140,2019-12-13,144.96,145.04,145.43,143.51,10.95M,-0.05%
139,2019-12-14,142.03,144.95,145.17,141.4,11.15M,-2.02%
138,2019-12-15,142.53,142.03,143.87,140.3,11.31M,0.35%
137,2019-12-16,132.78,142.55,142.75,131.0,17.60M,-6.84%
136,2019-12-17,122.06,132.78,132.96,120.63,17.04M,-8.07%
135,2019-12-18,132.92,122.06,133.93,117.14,20.23M,8.89%
134,2019-12-19,128.42,132.93,133.9,126.12,14.22M,-3.39%
133,2019-12-20,128.7,128.42,129.66,126.31,12.29M,0.22%
132,2019-12-21,127.61,128.69,128.79,126.85,9.64M,-0.85%
131,2019-12-22,132.19,127.61,133.04,127.09,13.67M,3.59%
130,2019-12-23,128.08,132.2,134.92,126.55,14.73M,-3.11%
129,2019-12-24,128.05,128.07,129.77,127.07,11.44M,-0.02%
128,2019-12-25,125.24,128.05,128.17,124.18,13.23M,-2.20%
127,2019-12-26,125.93,125.24,132.12,124.53,15.55M,0.55%
126,2019-12-27,126.41,125.92,127.04,123.18,12.25M,0.38%
125,2019-12-28,128.35,126.4,129.73,125.98,12.13M,1.54%
124,2019-12-29,134.4,128.35,137.74,127.67,15.69M,4.71%
123,2019-12-30,131.83,134.4,136.16,130.91,12.47M,-1.91%
122,2019-12-31,129.21,131.87,133.53,128.27,12.89M,-1.99%
121,2020-01-01,130.75,129.21,132.97,128.81,10.35M,1.19%
120,2020-01-02,127.19,130.75,130.77,126.74,11.45M,-2.72%
119,2020-01-03,134.27,127.19,134.86,126.05,15.67M,5.56%
118,2020-01-04,134.33,134.3,135.57,132.76,11.16M,0.04%
117,2020-01-05,135.59,134.32,138.33,134.32,12.19M,0.94%
116,2020-01-06,144.08,135.59,144.27,135.17,14.36M,6.26%
115,2020-01-07,143.04,144.09,145.13,139.22,13.58M,-0.73%
114,2020-01-08,140.81,143.01,147.55,137.61,13.71M,-1.56%
113,2020-01-09,137.92,140.8,141.6,135.85,11.38M,-2.05%
112,2020-01-10,144.81,137.93,144.86,135.69,13.37M,4.99%
111,2020-01-11,142.67,144.81,147.68,142.23,12.46M,-1.48%
110,2020-01-12,146.46,142.65,146.46,142.0,10.01M,2.66%
109,2020-01-13,143.6,146.5,146.87,142.64,10.26M,-1.95%
108,2020-01-14,166.07,143.59,169.73,143.59,22.85M,15.65%
107,2020-01-15,166.45,166.07,166.45,159.74,16.66M,0.23%
106,2020-01-16,164.36,166.44,167.18,159.08,16.24M,-1.26%
105,2020-01-17,170.22,164.39,173.96,162.33,18.57M,3.57%
104,2020-01-18,174.19,170.18,179.29,165.34,17.42M,2.33%
103,2020-01-19,166.92,174.17,177.77,162.04,15.84M,-4.17%
102,2020-01-20,166.87,166.92,169.24,161.61,11.30M,-0.03%
101,2020-01-21,169.41,166.87,169.79,165.53,11.52M,1.52%
100,2020-01-22,168.13,169.41,171.27,166.19,11.30M,-0.76%
99,2020-01-23,162.8,168.15,168.25,159.78,14.86M,-3.17%
98,2020-01-24,162.55,162.8,164.27,155.65,14.88M,-0.15%
97,2020-01-25,160.44,162.56,162.72,157.87,9.63M,-1.29%
96,2020-01-26,167.9,160.4,168.0,159.55,9.82M,4.65%
95,2020-01-27,170.27,167.91,171.97,165.45,12.54M,1.41%
94,2020-01-28,175.74,170.27,176.06,170.27,12.63M,3.21%
93,2020-01-29,173.86,175.78,178.41,173.76,11.27M,-1.07%
92,2020-01-30,184.59,173.86,186.76,171.2,13.02M,6.17%
91,2020-01-31,179.91,184.6,185.67,175.46,11.77M,-2.54%
90,2020-02-01,183.64,179.88,184.17,179.36,13.24M,2.08%
89,2020-02-02,188.5,183.58,193.25,179.49,14.54M,2.65%
88,2020-02-03,189.79,188.48,194.92,187.16,11.95M,0.69%
87,2020-02-04,188.93,189.8,191.48,188.93,11.56M,-0.45%
86,2020-02-05,203.83,188.94,207.51,188.26,14.67M,7.89%
85,2020-02-06,213.16,203.84,216.14,201.29,16.44M,4.58%
84,2020-02-07,223.51,213.15,224.53,213.14,16.73M,4.86%
83,2020-02-08,223.23,223.47,227.55,213.75,15.98M,-0.13%
